Year,Men,Women
1896.0,151.0,0.0
1900.0,501.0,11.0
1904.0,458.0,12.0
1908.0,789.0,15.0
1912.0,855.0,30.0
1920.0,1255.0,43.0
1924.0,833.0,51.0
1928.0,615.0,95.0
1932.0,555.0,60.0
1936.0,791.0,84.0
1948.0,718.0,96.0
1952.0,750.0,139.0
1956.0,739.0,146.0
1960.0,737.0,145.0
1964.0,820.0,190.0
1968.0,819.0,212.0
1972.0,947.0,238.0
1976.0,924.0,381.0
1980.0,958.0,429.0
1984.0,973.0,486.0
1988.0,1011.0,535.0
1992.0,1105.0,600.0
1996.0,1082.0,777.0
2000.0,1126.0,889.0
2004.0,1099.0,899.0
2008.0,1110.0,932.0
2012.0,1025.0,924.0
